frequency_ghz,cold_load,hot_load
0.018310547,2609318662.360000134,2639979094.885000229
0.018554688,2554960569.426666737,2587649468.722777843
0.018798828,2506828876.776111126,2541171980.851666451
0.019042969,2463674393.484444618,2493644020.582777977
0.019287109,2433351058.784444332,2462742094.865555763
0.019531250,2413004297.214444637,2442833344.162777901
0.019775391,2401727330.777777672,2431416087.594444275
0.020019531,2374593680.942777634,2403897969.220555782
0.020263672,2309709837.356666565,2339218865.793889046
0.020507812,2226280186.711666584,2254874998.710555553
0.020751953,2138585333.582222223,2165576646.569444656
0.020996094,2060917134.365555525,2086782660.589444399
0.021240234,1993300266.149444342,2018585296.921111107
0.021484375,1936386352.463333368,1965234587.775000095
0.021728516,1881703081.390000105,1911250154.149444342
0.021972656,1830845139.579444408,1860267809.251111031
0.022216797,1785368395.798888922,1807885252.017222166
0.022460938,1744186809.673888922,1768712739.512777805
0.022705078,1704593646.913888931,1727174281.973888874
0.022949219,1666008884.488888979,1686874771.699444532
0.023193359,1630282007.803888798,1651134778.692222118
0.023437500,1597151365.028333426,1617549405.337222338
0.023681641,1565733829.479444504,1585926828.592777729
0.023925781,1539332010.447222233,1559033225.118333340
0.024169922,1513365287.421666622,1532801351.282222271
0.024414062,1491084838.284444332,1512634660.765555620
0.024658203,1474796912.730000019,1496346291.686666727
0.024902344,1452948707.878888845,1472262899.060555458
0.025146484,1446476842.716111183,1466274085.183888912
0.025390625,1441016584.755555630,1460585639.549444437
0.025634766,1444901676.706111193,1464777679.507222176
0.025878906,1468998443.687222242,1489856516.803888798
0.026123047,1496732527.685555458,1518540168.740555525
0.026367188,1556962717.259444475,1580830061.894999981
0.026611328,1630325806.105555534,1656521745.659444332
0.026855469,1695505564.051666737,1723923974.972777843
0.027099609,1741791741.807222128,1772088150.891111135
0.027343750,1713509863.663333416,1742939480.353888988
0.027587891,1614810021.390000105,1641676724.136111021
0.027832031,1513520729.460000038,1537713319.556111097
0.028076172,1401519544.240555525,1423385034.179444551
0.028320312,1311406190.412777662,1331464537.311666727
0.028564453,1246245212.479444504,1264779121.928333282
0.028808594,1180230285.262222290,1197697761.559999943
0.029052734,1138914475.099444389,1155594595.005000114
0.029296875,1096284695.279444456,1112045916.116111040
0.029541016,1062147175.361666679,1077219970.474999905
0.029785156,1036959742.048333287,1051594145.274444461
0.030029297,1010602577.459444404,1024572014.017222166
0.030273438,986802310.230555534,1000781668.019444466
0.030517578,963804294.200555563,977553555.248333335
0.030761719,944601633.358333349,958025246.663888931
0.031005859,928325807.137777805,941358512.888333321
0.031250000,907227612.878888845,919952268.023333311
0.031494141,895094028.296666622,907566634.563333392
0.031738281,878386544.674999952,890632010.857777834
0.031982422,863826823.933888912,876541331.413888931
0.032226562,850227515.816111088,862524849.338333368
0.032470703,836265324.546111107,848252811.889999986
0.032714844,824259716.935555577,835989718.811666608
0.032958984,812080687.287777781,823584616.980555534
0.033203125,800671027.876666665,811974134.011666656
0.033447266,790131000.542777777,801252092.828333378
0.033691406,779489137.251111150,790536076.575000048
0.033935547,769704207.537222266,780726025.723333359
0.034179688,760203084.399999976,771101686.011111140
0.034423828,751127207.833888888,762081794.016666651
0.034667969,742421985.518888831,753310809.375555515
0.034912109,733804429.857777834,744723898.421111107
0.035156250,726126522.596666694,736902014.932777762
0.035400391,719032378.907777786,729909633.782777786
0.035644531,711916094.088333368,722596518.411111116
0.035888672,704953039.267777801,715621499.258888841
0.036132812,698247322.656666636,708593895.284444451
0.036376953,692182923.284999967,702367381.754444480
0.036621094,686211787.968888879,696472294.361111164
0.036865234,680505709.782777786,690916468.489444494
0.037109375,675610323.698888898,686067320.771666646
0.037353516,668909238.398888946,679435837.207777739
0.037597656,664076468.565555573,674453041.933333278
0.037841797,663584187.027222276,673825085.653888941
0.038085938,658789344.461666703,669057645.667222261
0.038330078,658368327.815000057,669018921.504444480
0.038574219,655997638.178888917,666908423.535555601
0.038818359,653610419.207777739,664791915.940000057
0.039062500,656767547.978333354,668783488.779444456
0.039306641,653590096.379444480,665875445.590000033
0.039550781,656070030.471111059,669217318.407777786
0.039794922,659018608.822222233,672941199.537777781
0.040039062,656733659.506111145,670961849.593888879
0.040283203,658091582.113333344,673263212.339444399
0.040527344,657983712.513333321,673396376.362777829
0.040771484,651154755.857222199,666199352.015555501
