timestamp,cpu_temp_c,pmic_temp_c,passive_state,core_voltage_v,throttled
2026-04-22T18:39:41,46.738,37.4,0,0.86,0x0
2026-04-22T18:39:51,47.225,37.4,0,0.86,0x0
2026-04-22T18:40:01,47.225,39.5,0,0.86,0x0
2026-04-22T18:40:45,45.764,39.5,0,0.86,0x0
2026-04-22T18:40:55,46.251,39.5,0,0.86,0x0
2026-04-22T18:41:05,47.225,39.5,0,0.86,0x0
2026-04-22T18:41:15,47.225,39.5,0,0.86,0x0
2026-04-22T18:41:25,46.251,39.5,0,0.86,0x0
2026-04-22T18:41:35,46.251,39.5,0,0.86,0x0
2026-04-22T18:41:45,47.712,39.5,0,0.86,0x0
2026-04-22T18:41:55,45.764,39.5,0,0.86,0x0
2026-04-22T18:42:05,48.199,39.5,0,0.86,0x0
2026-04-22T18:42:15,47.225,39.5,0,0.86,0x0
2026-04-22T18:42:25,46.738,39.5,0,0.86,0x0
2026-04-22T18:48:29,43.816,37.4,0,0.86,0x0
2026-04-22T18:48:39,46.738,37.4,0,0.86,0x0
2026-04-22T18:48:49,45.764,37.4,0,0.86,0x0
2026-04-22T18:48:59,44.303,37.4,0,0.86,0x0
2026-04-22T18:49:09,45.764,39.5,0,0.86,0x0
2026-04-22T18:49:19,46.738,39.5,0,0.86,0x0
2026-04-22T18:49:29,46.251,39.5,0,0.86,0x0
2026-04-22T18:49:39,46.738,39.5,0,0.86,0x0
2026-04-22T18:49:49,47.225,39.5,0,0.86,0x0
2026-04-22T18:49:59,47.225,39.5,0,0.86,0x0
2026-04-22T18:50:09,46.251,39.5,0,0.86,0x0
2026-04-22T18:50:19,46.251,39.5,0,0.86,0x0
2026-04-22T18:50:29,47.225,39.5,0,0.86,0x0
2026-04-22T18:50:39,48.686,39.5,0,0.86,0x0
