timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T19:59:21,2.1221,-1.7405,-0.3893,1.0027,0.0242,-0.1086,1.3728,-83.6661
2026-04-22T19:59:34,2.0,-1.5573,-0.4046,1.0042,0.0281,-0.0896,1.5952,-84.658
2026-04-22T19:59:47,2.0,-1.687,-0.3969,1.0125,0.0186,-0.1021,1.0446,-84.1506
2026-04-22T20:00:00,2.0916,-1.4275,-0.5038,0.9976,0.0215,-0.0996,1.2277,-84.1675
2026-04-22T20:00:13,2.0916,-1.687,-0.5954,1.0044,0.0168,-0.0999,0.9562,-84.2428
2026-04-22T20:00:26,2.2137,-1.4885,-0.4656,1.0037,0.0193,-0.0959,1.0959,-84.4307
2026-04-22T20:00:39,2.2672,-1.7252,-0.3206,0.9958,0.0178,-0.0906,1.0211,-84.704
