timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T19:02:36,2.0382,-1.855,-0.6031,0.9985,0.0181,-0.0908,1.0323,-84.7018
2026-04-22T19:02:46,2.1374,-1.6794,-0.6489,1.0139,0.022,-0.0959,1.2359,-84.4551
2026-04-22T19:02:56,2.145,-1.6183,-0.6565,0.9978,0.0251,-0.0784,1.4392,-85.2846
2026-04-22T19:03:40,2.2443,-1.7557,-0.5954,0.9983,0.0232,-0.0886,1.3257,-84.757
2026-04-22T19:03:50,3.6641,-1.4198,-0.5649,0.9763,0.0808,-0.1396,4.6842,-80.6162
2026-04-22T19:04:00,2.0763,-1.7099,-0.4885,0.9932,0.0222,-0.0962,1.2755,-84.3233
2026-04-22T19:04:10,2.0763,-1.6947,-0.313,0.9846,0.0283,-0.0959,1.6398,-84.1985
