timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T19:17:09,2.1603,-1.3893,-0.5191,0.9973,0.0244,-0.0671,1.3991,-85.9028
2026-04-22T19:17:19,2.1527,-1.2672,-0.5802,0.9949,0.0254,-0.0654,1.4588,-85.9647
2026-04-22T19:17:29,2.0458,-1.2901,-0.2443,0.9968,0.0251,-0.0496,1.4433,-86.8089
2026-04-22T19:38:53,2.1374,-1.2672,-0.6565,0.9968,0.0229,-0.0601,1.3165,-86.3096
2026-04-22T19:39:03,2.1908,-1.2748,-0.5649,0.9963,0.0178,-0.0693,1.0223,-85.8902
2026-04-22T19:39:13,2.2901,-1.0458,-0.6718,0.9844,0.0222,-0.0601,1.2905,-86.278
2026-04-22T19:39:23,2.0076,-1.2443,-0.4198,0.9858,0.0215,-0.0654,1.2457,-86.004
2026-04-22T19:39:33,2.1603,-1.1679,-0.5344,0.9929,0.0208,-0.072,1.1942,-85.6832
2026-04-22T19:39:43,2.2977,-1.3053,-0.4198,1.0012,0.0234,-0.072,1.3375,-85.674
2026-04-22T19:39:53,2.1679,-1.3282,-0.458,1.0142,0.0178,-0.072,1.0043,-85.8158
2026-04-22T19:40:03,2.0305,-1.4809,-0.5954,0.9963,0.031,-0.0708,1.778,-85.5641
2026-04-22T19:40:13,2.1908,-1.2366,-0.5267,0.9871,0.0215,-0.0679,1.244,-85.8748
2026-04-22T19:40:23,2.0611,-1.3664,-0.3893,1.0139,0.0225,-0.0696,1.2661,-85.8754
2026-04-22T19:40:33,2.3435,-1.3664,-0.542,0.9998,0.021,-0.0713,1.2001,-85.7487
2026-04-22T19:40:43,2.2137,-1.2366,-0.5267,0.998,0.02,-0.0681,1.1465,-85.9311
2026-04-22T19:40:53,2.0992,-1.2824,-0.6107,0.999,0.0227,-0.063,1.2994,-86.1657
2026-04-22T19:41:03,2.2214,-1.2901,-0.4122,0.9961,0.0225,-0.0784,1.2878,-85.3211
2026-04-22T19:41:13,2.1679,-1.3817,-0.7176,0.9976,0.0237,-0.0745,1.3562,-85.5212
