timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T18:39:41,2.0153,-1.7557,-0.4504,1.0,0.0217,-0.0955,1.2391,-84.4085
2026-04-22T18:39:51,2.229,-1.6794,-0.5267,1.0127,0.0205,-0.0813,1.1564,-85.267
2026-04-22T18:40:01,2.0687,-1.7634,-0.6107,0.9976,0.0159,-0.0979,0.907,-84.3223
2026-04-22T18:40:45,3.9008,-1.8473,-0.3969,0.9961,0.0222,-0.0952,1.2719,-84.394
2026-04-22T18:40:55,1.5954,-1.7176,-0.5191,0.9783,0.0161,-0.0845,0.9401,-84.9763
2026-04-22T18:41:05,2.0611,-1.4962,-0.3435,0.9985,0.0261,-0.1064,1.4902,-83.736
2026-04-22T18:41:15,2.2214,-1.5267,-0.626,1.0154,0.0217,-0.1028,1.2197,-84.093
2026-04-22T18:41:25,2.1679,-1.8855,-0.5725,1.0144,0.0198,-0.0923,1.1122,-84.6845
2026-04-22T18:41:35,2.0916,-1.5802,-0.5649,0.9956,0.0242,-0.095,1.3844,-84.3784
2026-04-22T18:41:45,2.0992,-1.5191,-0.4122,0.9993,0.0229,-0.0889,1.3105,-84.7521
2026-04-22T18:41:55,2.084,-1.7176,-0.4504,1.0034,0.0266,-0.0796,1.5144,-85.2192
2026-04-22T18:42:05,2.1298,-1.5954,-0.313,0.9966,0.0186,-0.0933,1.062,-84.5496
2026-04-22T18:42:15,2.0687,-1.6489,-0.5115,0.9844,0.019,-0.0845,1.1042,-84.9728
2026-04-22T18:42:25,2.1298,-1.7023,-0.5267,0.9978,0.022,-0.0918,1.2562,-84.596
2026-04-22T18:48:28,2.1908,-1.8092,-0.3664,1.0154,0.0251,-0.093,1.4128,-84.579
2026-04-22T18:48:39,2.0076,-1.5344,-0.5267,1.0015,0.0208,-0.0908,1.1822,-84.6854
2026-04-22T18:48:49,2.1221,-1.542,-0.5038,0.9854,0.0308,-0.083,1.7818,-84.8663
2026-04-22T18:48:59,2.0382,-1.6107,-0.5115,0.9985,0.0308,-0.083,1.7585,-84.9337
2026-04-22T18:49:09,2.4427,-3.6641,-0.1221,0.9636,0.0771,-0.0164,4.5767,-85.3213
2026-04-22T18:49:19,2.0763,-1.687,-0.5115,1.001,0.0203,-0.0935,1.1547,-84.5401
2026-04-22T18:49:29,2.1985,-1.5115,-0.4656,0.998,0.0168,-0.0903,0.963,-84.7397
2026-04-22T18:49:39,2.0458,-1.6336,-0.626,0.9976,0.0225,-0.1064,1.2826,-83.7762
2026-04-22T18:49:49,2.0382,-1.6794,-0.4198,0.9888,0.022,-0.0876,1.2681,-84.7785
2026-04-22T18:49:59,2.1756,-1.7176,-0.5191,0.9844,0.0249,-0.0813,1.4442,-85.0632
2026-04-22T18:50:09,2.2748,-1.6107,-0.6641,1.001,0.0229,-0.0923,1.3078,-84.573
2026-04-22T18:50:19,2.0611,-1.6641,-0.3664,0.9976,0.0269,-0.094,1.5353,-84.4032
2026-04-22T18:50:29,2.2366,-1.4885,-0.4275,0.9971,0.0237,-0.1001,1.3538,-84.11
2026-04-22T18:50:39,2.0534,-1.6565,-0.4275,0.9985,0.0271,-0.0872,1.5487,-84.7772
