timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T18:09:19,2.2061,-1.6412,-0.4962,0.9966,0.0203,-0.0925,1.1599,-84.5705
2026-04-22T18:09:29,2.0687,-1.687,-0.6107,1.0051,0.0203,-0.1001,1.1493,-84.1982
2026-04-22T18:09:39,1.9618,-1.5878,-0.5038,1.001,0.0166,-0.104,0.9451,-83.9936
2026-04-22T18:09:49,2.0229,-1.4809,-0.7328,1.0029,0.0256,-0.0994,1.457,-84.1579
2026-04-22T18:09:59,3.6183,-1.6336,-0.4046,1.0208,-0.042,-0.0637,-2.3512,-85.7244
2026-04-22T18:10:09,1.9542,-1.8397,-0.5573,1.0044,0.0225,-0.0918,1.2758,-84.6248
2026-04-22T18:10:19,2.0763,-1.6641,-0.4198,0.9858,0.0171,-0.1074,0.9873,-83.7037
2026-04-22T18:10:29,2.1908,-1.5649,-0.5496,1.0127,0.0186,-0.0969,1.0449,-84.4343
2026-04-22T18:10:39,2.0534,-1.5267,-0.6412,0.9988,0.0242,-0.0913,1.3805,-84.5977
2026-04-22T18:10:49,2.084,-1.771,-0.4885,0.9861,0.0217,-0.093,1.2567,-84.467
2026-04-22T18:10:59,2.0992,-1.7634,-0.4733,0.9998,0.0261,-0.0964,1.4899,-84.2931
2026-04-22T18:11:09,2.084,-1.5954,-0.4198,0.9961,0.0195,-0.093,1.1184,-84.5494
2026-04-22T18:11:19,2.1145,-1.7328,-0.5649,1.0051,0.0247,-0.0989,1.3986,-84.2108
2026-04-22T18:11:29,2.3206,-1.8931,-0.4504,0.9968,0.0203,-0.0869,1.1602,-84.884
