timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T20:09:41,2.1832,-1.6183,-0.4885,1.0012,0.0188,-0.1013,1.0702,-84.1237
2026-04-22T20:09:54,2.2214,-1.3282,-0.3817,1.0005,0.0273,-0.0908,1.5591,-84.5845
2026-04-22T20:10:07,2.1832,-1.8092,-0.5649,1.0137,0.0266,-0.0967,1.497,-84.3505
2026-04-22T20:10:54,2.2672,-1.5267,-0.5115,0.9934,0.022,-0.0957,1.2613,-84.355
2026-04-22T20:11:07,2.0382,-1.6031,-0.4885,0.9998,0.0222,-0.1013,1.2665,-84.0767
2026-04-22T20:11:20,2.1298,-1.6794,-0.5267,0.9941,0.0212,-0.0996,1.2179,-84.1505
2026-04-22T20:11:33,2.1221,-1.7786,-0.4427,0.9856,0.0234,-0.0813,1.3576,-85.0934
2026-04-22T20:11:46,2.1221,-1.7252,-0.4504,1.0059,0.0227,-0.0977,1.2871,-84.3077
2026-04-22T20:11:59,2.0534,-1.5115,-0.7863,1.0007,0.0166,-0.1028,0.9454,-84.0604
2026-04-22T20:12:12,2.2137,-1.6718,-0.5344,0.9998,0.0227,-0.0908,1.2957,-84.6505
2026-04-22T20:12:25,2.1145,-1.5573,-0.5496,0.9973,0.0256,-0.0972,1.4655,-84.2461
