timestamp,temperature_c,humidity_pct,pressure_hpa
2026-04-22T19:08:03,24.403,14.02,1020.267
2026-04-22T19:08:15,24.403,13.043,1020.725
2026-04-22T19:08:27,24.517,13.043,1021.423
2026-04-22T19:08:40,24.452,13.043,1021.057
2026-04-22T19:08:52,24.533,13.043,1020.314
2026-04-22T19:09:04,24.225,13.531,1021.032
2026-04-22T19:09:17,24.176,13.531,1020.471
2026-04-22T19:09:29,24.225,14.02,1020.574
2026-04-22T19:09:41,24.111,13.531,1021.019
2026-04-22T19:09:53,24.078,13.043,1020.95
2026-04-22T19:10:06,23.949,13.531,1021.588
2026-04-22T19:10:18,23.916,14.02,1020.377
2026-04-22T19:10:30,23.9,13.531,1020.799
2026-04-22T19:10:43,24.013,13.531,1021.726
2026-04-22T19:10:55,23.965,13.531,1020.937
2026-04-22T19:11:07,23.835,14.02,1021.118
2026-04-22T19:11:20,23.916,13.531,1020.377
2026-04-22T19:11:32,24.013,13.531,1021.498
2026-04-22T19:11:44,23.802,13.531,1021.278
2026-04-22T19:11:57,23.461,14.508,1021.694
2026-04-22T19:12:09,23.136,14.996,1021.459
2026-04-22T19:12:21,23.071,14.508,1021.093
2026-04-22T19:12:34,23.088,14.996,1021.128
2026-04-22T19:12:46,23.299,14.996,1020.892
2026-04-22T19:12:58,23.218,14.996,1020.948
2026-04-22T19:13:10,22.714,14.996,1021.472
2026-04-22T19:13:23,22.438,15.973,1021.567
2026-04-22T19:13:35,22.064,15.973,1020.544
2026-04-22T19:13:47,21.772,16.949,1020.375
2026-04-22T19:14:00,21.902,18.414,1020.88
2026-04-22T19:14:12,22.048,17.926,1021.419
2026-04-22T19:14:24,22.145,17.438,1021.399
2026-04-22T19:14:37,22.227,16.461,1021.117
2026-04-22T19:14:49,21.999,16.949,1021.315
2026-04-22T19:15:01,21.902,16.461,1021.335
2026-04-22T19:15:14,21.934,15.973,1021.176
2026-04-22T19:15:26,22.064,15.973,1021.453
2026-04-22T19:15:38,22.227,15.484,1021.345
2026-04-22T19:15:51,22.275,15.973,1021.449
2026-04-22T19:16:03,22.308,16.461,1021.063
2026-04-22T19:16:15,22.259,16.949,1021.414
2026-04-22T19:16:28,22.373,15.973,1021.201
2026-04-22T19:16:40,22.422,17.438,1021.533
2026-04-22T19:16:52,22.308,15.973,1021.518
2026-04-22T19:17:04,22.405,15.484,1021.726
2026-04-22T19:17:17,22.454,15.484,1020.008
2026-04-22T19:17:29,22.194,15.973,1021.048
2026-04-22T19:17:41,22.292,15.973,1020.8
2026-04-22T19:17:54,22.422,15.973,1021.76
2026-04-22T19:18:06,22.487,15.973,1021.216
2026-04-22T19:18:18,22.552,15.973,1020.899
2026-04-22T19:18:31,22.47,15.973,1020.953
2026-04-22T19:18:43,22.243,16.461,1020.469
2026-04-22T19:18:55,22.048,15.973,1020.736
2026-04-22T19:19:08,22.162,15.973,1021.206
2026-04-22T19:19:20,22.292,15.973,1020.345
2026-04-22T19:19:32,22.21,16.461,1020.855
2026-04-22T19:19:45,22.34,15.973,1020.449
2026-04-22T19:19:57,22.47,15.484,1020.953
2026-04-22T19:20:09,22.552,15.973,1020.671
2026-04-22T19:20:22,22.649,15.973,1020.878
2026-04-22T19:20:34,22.747,15.484,1020.858
2026-04-22T19:20:46,22.584,15.484,1020.74
2026-04-22T19:20:58,22.487,15.973,1021.216
2026-04-22T19:21:11,22.519,16.461,1021.285
2026-04-22T19:21:23,22.633,15.484,1020.844
2026-04-22T19:21:35,22.405,15.973,1020.587
2026-04-22T19:21:48,22.227,16.461,1020.207
2026-04-22T19:22:00,21.902,16.949,1021.562
2026-04-22T19:22:12,22.032,16.461,1021.612
2026-04-22T19:22:25,22.194,16.461,1020.82
2026-04-22T19:22:37,22.178,16.949,1021.468
2026-04-22T19:22:49,22.308,16.461,1021.063
2026-04-22T19:23:02,22.259,16.461,1020.959
2026-04-22T19:23:14,22.178,16.461,1022.151
2026-04-22T19:23:26,21.739,16.949,1020.306
2026-04-22T19:23:39,21.495,18.902,1021.15
2026-04-22T19:23:51,21.658,17.438,1021.269
2026-04-22T19:24:03,21.463,17.926,1021.989
2026-04-22T19:24:16,21.609,17.926,1020.711
2026-04-22T19:24:28,21.772,17.438,1021.285
2026-04-22T19:24:40,21.885,16.949,1021.3
2026-04-22T19:24:52,21.804,16.949,1021.127
2026-04-22T19:25:05,21.934,16.949,1020.722
2026-04-22T19:25:17,22.08,16.949,1021.716
2026-04-22T19:25:29,22.097,16.461,1021.068
2026-04-22T19:25:42,22.194,16.461,1021.503
2026-04-22T19:25:54,22.292,15.973,1021.028
2026-04-22T19:26:06,22.389,16.461,1021.008
2026-04-22T19:26:19,22.129,16.949,1021.137
2026-04-22T19:26:31,21.918,16.949,1021.369
2026-04-22T19:26:43,21.837,18.414,1020.514
2026-04-22T19:26:56,21.983,17.438,1020.598
2026-04-22T19:27:08,22.145,16.461,1021.172
2026-04-22T19:27:20,22.129,16.461,1021.365
2026-04-22T19:27:33,21.707,16.461,1021.146
