timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T18:51:39,3.8855,-1.4809,-0.687,0.9988,0.0205,-0.0977,1.1707,-84.2946
2026-04-22T18:51:49,1.9924,-1.687,-0.5954,1.0022,0.0283,-0.0867,1.6126,-84.8016
2026-04-22T18:52:00,2.1298,-1.5725,-0.5344,1.0015,0.0154,-0.0806,0.8771,-85.3178
2026-04-22T18:52:47,2.2595,-0.2672,-0.458,1.0063,-0.0779,-0.0769,-4.4125,-83.7928
2026-04-22T18:52:57,2.1145,-1.8015,-0.5115,1.0,0.0247,-0.1069,1.4045,-83.7374
2026-04-22T18:53:07,2.2137,-1.687,-0.5267,1.0029,0.0244,-0.0911,1.3888,-84.6297
2026-04-22T18:53:17,2.2824,-1.626,-0.5344,0.9888,0.021,-0.1055,1.2096,-83.7929
2026-04-22T18:53:27,3.8702,-1.5649,-0.5802,1.0015,0.0244,-0.0972,1.39,-84.287
2026-04-22T18:53:37,2.0687,-1.626,-0.5267,0.9988,0.0264,-0.093,1.5057,-84.471
2026-04-22T18:53:47,2.2595,-1.7405,-0.5344,1.002,0.0198,-0.0986,1.1253,-84.2667
2026-04-22T18:53:57,2.2137,-1.5802,-0.5267,0.9958,0.019,-0.1055,1.0894,-83.8574
2026-04-22T18:54:07,2.0153,-1.4122,-0.5649,0.9976,0.0259,-0.0811,1.4812,-85.1248
