timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T20:01:00,2.1221,-1.8168,-0.6031,1.0027,0.0225,-0.0913,1.278,-84.6425
2026-04-22T20:01:13,1.9542,-1.542,-0.4427,1.0112,0.019,-0.092,1.0744,-84.6898
2026-04-22T20:01:26,2.2366,-1.5573,-0.2901,0.9978,0.019,-0.0791,1.0899,-85.3384
2026-04-22T20:01:39,2.1832,-1.6565,-0.4122,0.9973,0.0239,-0.0784,1.3701,-85.3031
2026-04-22T20:01:52,2.1679,-1.5878,-0.7481,0.9998,0.022,-0.0974,1.2531,-84.296
2026-04-22T20:02:05,2.0076,-1.7481,-0.458,1.0034,0.0198,-0.0896,1.1246,-84.7752
2026-04-22T20:02:18,2.0916,-1.6412,-0.5267,0.9937,0.0171,-0.0916,0.9812,-84.6454
2026-04-22T20:02:31,2.145,-1.6641,-0.5954,1.0002,0.0232,-0.0952,1.3223,-84.4043
2026-04-22T20:02:44,2.1221,-1.5802,-0.5191,0.9961,0.0286,-0.0962,1.635,-84.2476
2026-04-22T20:02:57,2.0992,-1.6641,-0.6183,1.0017,0.0186,-0.0991,1.056,-84.2514
2026-04-22T20:03:10,2.1527,-1.6489,-0.5038,0.9963,0.0229,-0.0979,1.3132,-84.237
