timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T18:58:02,2.0992,-1.6107,-0.5649,0.988,0.022,-0.0962,1.268,-84.2971
2026-04-22T18:58:12,2.0382,-1.8626,-0.4656,0.9988,0.0242,-0.0981,1.3796,-84.2213
2026-04-22T18:58:22,2.0611,-1.771,-0.4656,0.9993,0.0168,-0.0913,0.9618,-84.6915
2026-04-22T18:59:05,2.1298,-1.4962,-0.4656,1.0146,0.0286,-0.0938,1.6057,-84.4829
2026-04-22T18:59:15,2.2137,-1.6336,-0.2977,1.0022,0.0269,-0.0942,1.5282,-84.4156
2026-04-22T18:59:25,2.0687,-1.5725,-0.4198,1.0051,0.0229,-0.0972,1.3019,-84.3273
2026-04-22T18:59:35,2.1832,-1.7405,-0.5802,0.999,0.0159,-0.0906,0.9063,-84.741
2026-04-22T18:59:45,2.0305,-1.8473,-0.6183,1.0095,0.0315,-0.1125,1.7759,-83.3963
2026-04-22T18:59:55,2.2672,-1.8092,-0.5573,1.0015,0.0195,-0.095,1.1123,-84.4701
2026-04-22T19:00:05,2.1832,-1.6031,-0.5344,1.0002,0.0208,-0.1001,1.1826,-84.1646
2026-04-22T19:00:15,2.0611,-1.5496,-0.4198,1.0024,0.02,-0.1011,1.1383,-84.1314
2026-04-22T19:00:25,2.0992,-1.6412,-0.3511,0.9944,0.0244,-0.0896,1.4008,-84.6646
2026-04-22T19:00:35,1.9847,-1.542,-0.4733,0.9976,0.022,-0.1082,1.2545,-83.6868
2026-04-22T19:00:45,2.0076,-1.6489,-0.3817,1.0034,0.0269,-0.0955,1.5262,-84.356
