timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T18:16:50,2.229,-1.6489,-0.4809,0.9985,0.0278,-0.093,1.5897,-84.4463
2026-04-22T18:17:00,0.0153,-1.6336,-0.2901,0.999,0.0281,-0.1033,1.6013,-83.8855
2026-04-22T18:17:10,2.145,-1.7099,-0.542,1.0015,0.0237,-0.1052,1.3472,-83.853
2026-04-22T18:17:20,2.1527,-1.771,-0.5725,1.0107,0.0178,-0.095,1.0058,-84.539
2026-04-22T18:17:30,1.7481,-1.2443,-0.8244,1.0054,-0.022,-0.1536,-1.2377,-81.2285
2026-04-22T18:17:40,2.2366,-1.5954,-0.5878,1.0142,0.0264,-0.0999,1.4821,-84.1854
2026-04-22T18:17:50,2.2137,-1.6183,-0.4427,1.0017,0.0259,-0.0806,1.4751,-85.1713
2026-04-22T18:18:00,0.0153,-1.5725,-0.4885,1.0015,0.0303,-0.1006,1.7228,-84.0122
2026-04-22T18:18:10,1.9924,-1.8779,-0.4656,0.9978,0.0242,-0.0916,1.3818,-84.579
2026-04-22T18:18:20,2.0763,-1.6641,-0.2366,0.9854,0.0227,-0.1013,1.3131,-83.9847
2026-04-22T18:18:30,2.2443,-1.7328,-0.542,0.9998,0.0225,-0.0796,1.283,-85.2713
2026-04-22T18:18:40,2.1908,-1.7863,-0.5649,0.9922,0.0188,-0.0942,1.0806,-84.4681
2026-04-22T18:18:50,2.0305,-1.3969,-0.4198,1.0139,0.0295,-0.104,1.6602,-83.9133
2026-04-22T18:19:00,2.0992,-1.7328,-0.5191,1.0007,0.0227,-0.0798,1.2956,-85.2588
