timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T20:06:47,2.0534,-1.7557,-0.4122,1.0073,0.0237,-0.0964,1.3406,-84.37
2026-04-22T20:07:00,2.1832,-1.6412,-0.3969,0.9993,0.021,-0.0881,1.199,-84.8193
2026-04-22T20:07:13,2.1298,-1.5878,-0.6489,0.9966,0.0251,-0.095,1.4389,-84.3699
2026-04-22T20:07:26,3.8626,-1.8855,-0.6794,0.9856,0.0229,-0.0789,1.3296,-85.2366
2026-04-22T20:07:39,2.1985,-1.3969,-0.6183,1.0015,0.0222,-0.0896,1.2658,-84.7335
2026-04-22T20:07:52,2.229,-1.687,-0.5267,0.9922,0.0217,-0.0852,1.25,-84.9354
2026-04-22T20:08:05,2.145,-1.6794,-0.313,0.9973,0.0251,-0.0969,1.4376,-84.2666
2026-04-22T20:08:18,2.3053,-1.6794,-0.4427,0.9998,0.0164,-0.1016,0.9326,-84.1251
2026-04-22T20:08:31,0.0534,-1.7863,-0.2824,0.9951,0.0247,-0.0913,1.4135,-84.5707
2026-04-22T20:08:44,2.1756,-1.6183,-0.4275,0.9976,0.0215,-0.0923,1.2285,-84.574
2026-04-22T20:08:57,2.2214,-1.6489,-0.4198,1.0017,0.0208,-0.1035,1.1805,-83.9835
