timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-22T19:08:00,2.1908,-1.4198,-0.3817,-0.9956,-0.0154,-0.1272,-0.8779,82.6669
2026-04-22T19:08:10,0.0153,-1.4733,-0.458,-0.9998,-0.0042,-0.135,-0.2357,82.3056
2026-04-22T19:08:20,1.9542,-1.542,-0.5954,-0.9939,0.0098,-0.1357,0.5578,82.203
2026-04-22T19:08:30,2.1603,-1.3893,-0.7023,-0.9897,-0.0098,-0.1267,-0.5607,82.6832
2026-04-22T19:08:40,1.3817,-0.9924,-0.7099,-1.0925,0.0669,-0.1985,3.4475,79.1471
2026-04-22T19:08:50,2.0305,-1.5878,-0.542,-0.9934,-0.0068,-0.1409,-0.3904,81.9197
2026-04-22T19:09:00,2.0153,-1.3282,-0.4809,-0.9971,-0.0029,-0.1392,-0.1667,82.0529
2026-04-22T19:09:10,2.1221,-1.4122,-0.6565,-1.0105,-0.0063,-0.1353,-0.3567,82.3681
2026-04-22T19:09:20,2.0458,-1.4656,-0.3817,-0.9919,-0.0046,-0.1316,-0.2656,82.4386
2026-04-22T19:09:30,2.084,-1.2901,-0.4733,-0.9978,0.0085,-0.1362,0.4861,82.2104
2026-04-22T19:09:40,2.0916,-1.4427,-0.4809,-0.9961,-0.0046,-0.1304,-0.2646,82.5387
2026-04-22T19:09:50,2.0,-1.3435,-0.5954,-0.9995,-0.0029,-0.1404,-0.1663,82.0034
2026-04-22T19:10:00,2.0763,-1.5573,-0.6641,-0.9897,-0.0029,-0.135,-0.168,82.2305
2026-04-22T19:10:10,2.2137,-1.3817,-0.7176,-0.9895,-0.0059,-0.1406,-0.3359,81.9045
2026-04-22T19:10:20,2.0534,-1.3893,-0.687,-0.9976,0.0142,-0.1309,0.8063,82.4835
2026-04-22T19:10:30,2.1832,-1.6183,-0.6107,-0.9968,0.0039,-0.1333,0.2225,82.3801
2026-04-22T19:10:41,2.0687,-1.4427,-0.4733,-0.9968,-0.0051,-0.1353,-0.292,82.2676
2026-04-22T19:10:51,2.2595,-1.5267,-0.458,-0.9932,0.0103,-0.137,0.586,82.1264
2026-04-22T19:11:01,2.0382,-1.5573,-0.7328,-0.9988,-0.0034,-0.1365,-0.1943,82.2168
2026-04-22T19:11:11,2.1908,-1.5191,-0.7557,-0.9946,-0.0029,-0.1377,-0.1672,82.1164
2026-04-22T19:11:21,2.1145,-1.3511,-0.5267,-0.9944,-0.0029,-0.1309,-0.1674,82.5012
2026-04-22T19:11:31,2.084,-1.4809,-0.6412,-0.9958,-0.0081,-0.1558,-0.458,81.0986
2026-04-22T19:11:41,2.1298,-1.313,-0.4885,-0.9939,-0.0056,-0.135,-0.3208,82.2577
2026-04-22T19:11:51,2.2824,-1.313,-0.6107,-0.9897,-0.0042,-0.136,-0.238,82.1732
2026-04-22T19:12:01,2.1756,-1.2748,-0.5267,-0.9998,-0.0137,-0.1392,-0.776,82.038
2026-04-22T19:12:11,2.1069,-1.1603,-0.458,-0.9973,-0.0054,-0.1116,-0.3067,83.6094
2026-04-22T19:12:21,2.1908,-1.374,-0.4351,-0.9917,-0.0029,-0.137,-0.1677,82.1349
2026-04-22T19:12:31,2.1298,-1.374,-0.4046,-0.9963,-0.002,-0.1367,-0.1113,82.1858
2026-04-22T19:12:41,2.1832,-1.3511,-0.7405,-0.9956,-0.0061,-0.1289,-0.3483,82.6145
2026-04-22T19:12:51,2.2366,-1.3588,-0.3969,-0.9902,-0.0061,-0.126,-0.3503,82.7414
2026-04-22T19:13:01,2.0382,-1.2366,-0.3511,-0.9961,0.0151,-0.1389,0.8623,82.0143
2026-04-22T19:13:11,2.2137,-1.2977,-0.5878,-0.9919,-0.0088,-0.1257,-0.5036,82.7586
2026-04-22T19:13:21,2.145,-1.4733,-0.5496,-0.9993,-0.0066,-0.1323,-0.3747,82.4475
2026-04-22T19:13:31,2.1679,-1.3435,-0.626,-0.9963,-0.0056,-0.1328,-0.3201,82.4005
2026-04-22T19:13:41,2.1069,-1.3664,-0.8397,-0.9858,-0.0042,-0.1272,-0.2392,82.6442
2026-04-22T19:13:51,2.1374,-1.3053,-0.6336,-0.9922,-0.0042,-0.1248,-0.2378,82.8294
2026-04-22T19:14:01,2.2366,-1.3511,-0.6107,-0.9956,-0.0044,-0.1289,-0.2508,82.6184
2026-04-22T19:14:11,2.084,-1.458,-0.6107,-0.9954,-0.0027,-0.1375,-0.1531,82.1362
2026-04-22T19:14:21,2.1603,-1.2901,-0.3817,-0.9944,-0.0005,-0.1152,-0.0279,83.3897
2026-04-22T19:14:31,2.1756,-1.2901,-0.5954,-0.9966,0.0,-0.1392,0.0,82.0508
2026-04-22T19:14:41,3.8779,-1.2977,-0.6183,-0.9995,-0.0088,-0.1328,-0.4994,82.4147
2026-04-22T19:14:51,2.0,-1.2824,-0.4427,-0.9934,-0.002,-0.1321,-0.1117,82.4258
