timestamp,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_g,accel_y_g,accel_z_g,rot_x_deg,rot_y_deg
2026-04-23T11:17:09,3.9008,-0.9466,-0.626,1.0012,0.0234,-0.0791,1.3368,-85.2895
2026-04-23T11:17:22,0.0916,-1.1069,-0.458,0.9973,0.0225,-0.0935,1.2845,-84.4923
2026-04-23T12:03:47,2.0382,-1.2901,-0.5878,0.9976,0.02,-0.0933,1.1447,-84.538
2026-04-23T12:04:00,1.8168,-1.0916,-0.4733,0.9922,0.0024,-0.0811,0.1405,-85.3276
2026-04-23T12:04:13,3.8931,-1.3359,-0.6489,0.9844,0.0293,-0.0652,1.701,-85.8476
2026-04-23T12:04:26,1.8321,-1.2443,-0.4351,1.001,0.0198,-0.0837,1.1279,-85.087
2026-04-23T12:04:39,2.0916,-1.2061,-0.5649,0.9856,0.0022,-0.0854,0.1273,-85.0433
2026-04-23T12:04:52,2.0458,-1.2214,-0.3969,0.9973,0.0212,-0.0833,1.2158,-85.0761
2026-04-23T12:05:05,1.9618,-1.2977,-0.6183,1.0015,0.019,-0.0881,1.0852,-84.8552
2026-04-23T12:05:18,2.145,-1.3969,-0.4733,0.9971,0.019,-0.0876,1.09,-84.8598
2026-04-23T12:05:31,2.0611,-1.3969,-0.5115,1.0007,0.0239,-0.0879,1.3643,-84.7991
2026-04-23T12:05:45,3.855,-1.2824,-0.5344,0.9851,0.0195,-0.0874,1.1314,-84.8054
2026-04-23T12:05:58,2.0382,-1.2748,-0.4733,0.9868,0.0217,-0.0859,1.2566,-84.8671
2026-04-23T12:06:11,2.0687,-1.2977,-0.3969,0.9985,0.0193,-0.094,1.1017,-84.5111
2026-04-23T12:06:24,2.0229,-1.4046,-0.5954,0.9958,0.0264,-0.0908,1.5104,-84.5752
2026-04-23T12:06:37,2.0763,-1.5496,-0.3893,1.0005,0.019,-0.0874,1.0863,-84.8908
2026-04-23T12:06:50,3.9008,-1.5191,-0.542,0.9998,0.0183,-0.0852,1.0455,-85.018
2026-04-23T12:07:03,2.0458,-1.5649,-0.458,1.0142,0.0273,-0.0916,1.5382,-84.6178
2026-04-23T12:07:16,2.0763,-1.3511,-0.3053,0.9963,0.0225,-0.0908,1.2861,-84.6356
2026-04-23T12:07:29,2.145,-1.458,-0.5725,1.0122,0.0195,-0.0796,1.102,-85.3713
2026-04-23T12:07:42,2.0076,-1.313,-0.5191,1.0112,0.0168,-0.095,0.9502,-84.5515
2026-04-23T12:07:55,2.0687,-1.4427,-0.3817,1.0076,0.0186,-0.092,1.0506,-84.6761
2026-04-23T12:08:08,2.084,-1.3893,-0.6336,1.0154,0.0154,-0.1052,0.8632,-84.0211
2026-04-23T12:08:21,2.0611,-1.626,-0.2977,1.0012,0.0176,-0.0879,1.002,-84.8844
2026-04-23T12:08:34,1.8931,-1.3817,-0.5496,1.0149,0.0188,-0.0938,1.0567,-84.6179
2026-04-23T12:08:47,2.0687,-1.374,-0.3664,0.9963,0.0168,-0.0903,0.9647,-84.7307
2026-04-23T12:09:00,2.0916,-1.4809,-0.3282,1.0012,0.021,-0.1035,1.195,-83.9779
2026-04-23T12:09:13,2.0458,-1.4122,-0.5649,1.0027,0.021,-0.0952,1.1942,-84.446
2026-04-23T12:09:26,2.0687,-1.4962,-0.3893,0.9868,0.0237,-0.1028,1.3673,-83.8991
2026-04-23T12:09:39,2.1756,-1.3893,-0.4504,0.9993,0.0146,-0.0996,0.8357,-84.2466
2026-04-23T12:09:52,0.0,-1.4427,-0.5496,1.0034,0.0183,-0.104,1.0399,-83.9921
2026-04-23T12:10:05,1.916,-1.3435,-0.4656,0.9993,0.0186,-0.1003,1.0584,-84.1693
2026-04-23T12:10:18,1.9924,-1.4427,-0.3588,1.0022,0.0298,-0.0984,1.6942,-84.1435
2026-04-23T12:10:31,1.9618,-1.4809,-0.458,1.0015,0.0186,-0.1025,1.0559,-84.0596
2026-04-23T12:10:44,2.2977,-1.4275,-0.5649,1.0095,0.0303,-0.1052,1.7084,-83.8099
2026-04-23T12:10:57,2.1298,-1.4733,-0.5496,1.0137,0.0181,-0.1028,1.0159,-84.122
2026-04-23T12:11:10,2.145,-1.5878,-0.2519,1.0005,0.0178,-0.1006,1.0154,-84.1701
2026-04-23T12:11:23,2.1069,-1.4809,-0.4656,1.0002,0.0173,-0.1003,0.9879,-84.1871
